member,rmse,rel_rmse,n_px,n_gt_10x,frac_gt_10x,worst0.1pct_SS_share,r2_active_q90,r2_quiet_q50,rmse_active,rmse_quiet,near_zero_px_share,extremes_near_body,Re_corr
FPCape-sine,0.45835,0.321,1257824,892,7.09e-04,87.3%,0.898,-134.072,1.4458,0.0027,88.2%,100%,-0.823
FPCape-tel,0.08759,0.122,1257824,2352,1.87e-03,65.4%,0.985,-165.175,0.276,0.0009,90.9%,62%,undef(const)
