case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_opt2_combo_ic884_full_dissproj_0p005,opt2_combo_ic884,full_dissproj,0.005,,STABLE,6.3583e-04,9.8674e-05,6.44,1.7431e-02,1.0026e-02,True,104.5,1.259e-02
case_opt2_kf4_ic1356_full_0p015,opt2_kf4_ic1356,full,0.015,,STABLE,1.9297e-02,5.2634e-02,0.37,3.6290e+00,6.4230e-02,False,,
case_opt2_kf4_ic1356_full_dissproj_0p015,opt2_kf4_ic1356,full_dissproj,0.015,,STABLE,1.9297e-02,5.1936e-02,0.37,3.6045e+00,6.4694e-02,True,99.2,1.415e-02
case_opt2_kf4_ic1356_full_0p01,opt2_kf4_ic1356,full,0.01,,STABLE,2.1155e-03,8.8245e-04,2.40,5.3158e-02,2.4606e-02,False,,
case_opt2_kf4_ic1356_full_dissproj_0p01,opt2_kf4_ic1356,full_dissproj,0.01,,STABLE,2.1155e-03,8.8385e-04,2.39,5.4332e-02,2.4603e-02,True,92.7,1.479e-02
case_opt2_kf4_ic1356_full_0p005,opt2_kf4_ic1356,full,0.005,,STABLE,2.5684e-04,1.2903e-05,19.91,1.8564e-02,1.2681e-02,False,,
case_opt2_kf4_ic1356_full_dissproj_0p005,opt2_kf4_ic1356,full_dissproj,0.005,,STABLE,2.5684e-04,1.2975e-05,19.79,1.8556e-02,1.2673e-02,True,91.5,1.300e-02
case_opt2_kf4_ic532_full_0p015,opt2_kf4_ic532,full,0.015,,STABLE,9.3986e-03,4.9649e-03,1.89,3.4667e-01,4.5595e-02,False,,
case_opt2_kf4_ic532_full_dissproj_0p015,opt2_kf4_ic532,full_dissproj,0.015,,STABLE,9.3986e-03,4.7816e-03,1.97,3.4569e-01,4.5227e-02,True,108.1,2.620e-02
case_opt2_kf4_ic532_full_0p01,opt2_kf4_ic532,full,0.01,,STABLE,2.1994e-03,3.5654e-04,6.17,2.5036e-02,2.9594e-02,False,,
