case,ckpt,variant,Delta_T,blowup_step,verdict,final_relL2_bare,final_relL2_closure,improvement_x,corner_drift_last,low_drift_last,proj_on,proj_shells_mean,proj_removed_frac_mean
case_opt2_combo_ic884_h64_full_0p005,opt2_combo_ic884_h64,full,0.005,30,UNSTABLE,2.4009e-03,,,7.5325e+00,2.5018e+00,False,,
case_opt2_combo_ic884_h64_full_dissproj_0p005,opt2_combo_ic884_h64,full_dissproj,0.005,31,UNSTABLE,2.4009e-03,,,6.4984e+00,2.0126e+00,True,103.2,5.381e-02
