epoch,val_nll,val_rmse,val_r2,val_sigma,zeta_ls
122.0,5.6231,68.74,0.8265,62.26,0.693
123.0,5.6096,68.0,0.8302,62.07,0.693
124.0,5.5973,67.472,0.8329,61.96,0.693
125.0,5.6571,70.592,0.8171,63.19,0.693
126.0,5.6454,70.563,0.8172,63.05,0.693
127.0,5.6135,68.6,0.8272,62.29,0.693
128.0,5.6023,67.683,0.8318,61.76,0.693
129.0,5.5909,67.124,0.8346,61.63,0.693
130.0,5.6562,71.445,0.8126,62.77,0.693
131.0,5.6501,71.202,0.8139,62.71,0.693
132.0,5.6264,69.541,0.8225,61.95,0.693
133.0,5.6045,67.593,0.8323,61.28,0.693
134.0,5.5945,67.27,0.8339,61.15,0.693
135.0,5.6851,74.079,0.7985,62.56,0.693
136.0,5.6178,68.76,0.8264,62.31,0.693
137.0,5.6294,69.178,0.8243,61.7,0.693
138.0,5.6038,67.747,0.8315,61.36,0.693
139.0,5.5921,67.04,0.835,61.21,0.693
140.0,5.6667,71.912,0.8102,62.2,0.693
141.0,5.6305,69.292,0.8237,62.09,0.693
142.0,5.6308,69.127,0.8246,61.53,0.693
143.0,5.5971,67.461,0.8329,61.15,0.693
144.0,5.595,67.149,0.8345,61.02,0.693
145.0,5.6595,71.038,0.8147,61.03,0.693
146.0,5.6161,68.733,0.8266,61.79,0.693
147.0,5.6406,70.034,0.8199,61.43,0.693
148.0,5.5966,67.359,0.8334,60.59,0.693
149.0,5.5901,66.818,0.8361,60.46,0.693
