step,t,rms_tau_full,rms_L3w,rms_L2N,rms_LNdot,rms_5Nddot,rel_Ndot_nn,rel_Nddot_nn,rel_fnn,rms_inj
0,0.0,0.00036379235639553287,1.4198979379072536e-08,1.1375935374092063e-07,2.3725135211475247e-06,0.0003637305415961909,0.11673459878542743,0.19407061965410452,0.16735791729100427,6.0870615322120694e-05
1,0.015,0.00036365131250598874,1.418966431120194e-08,1.137552628922955e-07,2.3744908030726666e-06,0.000363589727044864,0.11717021333548505,0.24209496021667176,0.22418907457259074,8.150931721126863e-05
2,0.03,0.0003632522200434233,1.4179437271076867e-08,1.1373524893214306e-07,2.375781919708522e-06,0.00036319141674797496,0.11763050494274752,0.2446888875886037,0.21539365993056833,7.822553825890831e-05
3,0.045,0.00036076067324745156,1.4164460241331982e-08,1.13348633322652e-07,2.3624871854090142e-06,0.00036070065712152585,0.1217380441034798,0.36748429294805135,0.34673061312917874,0.00012506002273094186
4,0.06,0.0003608878779812697,1.4156052061882306e-08,1.1338578701098255e-07,2.3640635265223483e-06,0.00036082755083492176,0.14142754191087087,0.9029071896398935,0.8977855714849563,0.0003239305943570244
5,0.075,0.0003756540619584842,1.4155782657444973e-08,1.1463266434561611e-07,2.4307887698975706e-06,0.00037559370202897333,0.2422234029901254,1.9889492908900654,1.9818728510341443,0.0007443430968440819
6,0.09,0.0004435705845203078,1.4146868403642732e-08,1.1626368641907348e-07,2.6145249458068115e-06,0.00044351438468988324,0.5174215652527553,3.9984977641152732,3.98549764572256,0.0017675432443249963
7,0.105,0.0007725016242695434,1.415945860229705e-08,1.249838562587521e-07,3.558081357947819e-06,0.0007724426779411016,1.2158463208062777,5.74229961150845,5.730866067177168,0.004426634129049783
8,0.12,0.0019242546368857456,1.4462800611476714e-08,1.8634406326777192e-07,7.697071250271995e-06,0.0019241500534050706,2.6094376846390817,6.04516232277952,6.0331210217599835,0.011608332644231702
9,0.135,0.00531283419133008,1.6478786040024685e-08,4.2208912744667806e-07,2.0521984334101938e-05,0.005312545068340747,6.124236229201995,6.5282022211698045,6.481129936834942,0.0344306028263333
10,0.15,0.016109216366479436,2.8305429496395528e-08,1.2109063587878898e-06,6.144107733369463e-05,0.01610839237646652,21.237237561277738,14.045960084686204,13.593944284531135,0.21897186069212946
11,0.16499999999999998,0.10394227180096326,1.435847212155005e-07,7.193101214479999e-06,0.000380952592243288,0.10393717237591603,117.55235589704726,86.35040695780444,83.75069946192167,8.704658382860893
