member,n_val_frames,r2_global,rmse_global,nll_global,cov_1s,cov_2s,cov_3s,cov1_wake,cov1_freestream,r2_wake,r2_freestream,residual_kurtosis,sign_acc,sign_acc_wake,sign_acc_strong,sign_acc_wake_strong,backscatter_frac_true,spearman_sigma_grad,spearman_abserr_grad,sigma_dyn_range,abserr_dyn_range
FPCape-const,44,0.9824518622355541,0.08531227358612083,-1.7376951178014217,0.9950334141270234,0.9988982415808426,0.9997019383547229,0.9805434659363471,0.9986305067521971,0.9833719977559148,0.9443935183539178,1351.1916076837654,0.591394344518788,0.747308545495248,0.679696191055491,0.763721816765125,0.5040343843451432,0.8746130442363412,0.3853578741044794,3.3101176816946083,28.861743721251624
FPCape-sine,44,0.8471562287866763,0.39432684115778555,-1.6906948756141102,0.991238259666911,0.9975546513806238,0.9990069430150077,0.9722074433290014,0.99596261121043,0.8433725211803734,0.8734413743118786,59993.761382791665,0.5929460864014506,0.7229858791309429,0.6814967031086298,0.7511887326533695,0.5034252515744362,0.8388769506165623,0.35079921188896646,4.23622112639372,30.558420192965283
FPCape-ramp,44,0.9782948610684445,0.1034373145888877,-1.724769605011996,0.9943538856137121,0.9987788434629964,0.9996429620446972,0.9780889582770039,0.9983916122778769,0.9803999440033914,0.929436942845574,1153.2973652986311,0.5924657474842556,0.7616801711831933,0.6806074328653005,0.7799303096810974,0.5035601165186863,0.9207535254287946,0.37085441443149075,3.6549497622503613,27.811161569850942
FPCape-ou,44,0.9794684696064537,0.10766523207679884,-1.7346242231995874,0.9950483027543093,0.9989125520090106,0.9996973127617796,0.980315967891522,0.9987055672516815,0.9804627460392431,0.9222961226909366,1412.2694293200757,0.5909635861759529,0.7645671431769484,0.6798609778040923,0.7815176560140604,0.5055047447019615,0.890660924217943,0.3852051877235048,3.3995174195497753,23.27627294117647
FPCape-tel,44,0.9787411372095093,0.10334118800886902,-1.7383300670211699,0.99519950182364,0.9989901752405886,0.9997325829079715,0.980997008364369,0.9987252345460175,0.9809151911960894,0.9107306893249909,1304.5374148814692,0.5910001572701601,0.7610361990818674,0.6796834706748971,0.778404136813983,0.5040417563838965,0.9194839319914089,0.36800375260492374,3.1466332554359884,22.513498101497923
