t,relL2_closure,relL2_bare,relL2_r3only,corr_closure,corr_bare,corr_r3only
0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.015,8.850621924239022e-08,1.589839726534592e-08,1.4349274657377009e-08,1.0,1.0,1.0
0.03,3.929488343601406e-07,2.0840651870912552e-08,1.7459269585629045e-08,1.0,1.0,1.0
0.045,2.680187208170537e-06,2.6164631350411582e-08,2.1579317888154037e-08,1.0,1.0,1.0
0.06,2.1774689230369404e-05,3.1363228458758385e-08,2.6093665894677542e-08,1.0,1.0,1.0
