timestamp,event,job_id,host,note
2026-07-19T05:55:12,start,1840765,ibfdr-compute-0-2.local,"gate_piff_events.py --new-run runs_piff/piff_fpc_gjs_wallv2 --baseline-run runs_piff/piff_fpc_gjs_ylp75 --expect-members FPC-const,FPC-sine,FPC-ramp,FPC-ou,FPC-telS-A --report-run gate_wallv2_fpc"
2026-07-19T05:55:44,fail,1840765,ibfdr-compute-0-2.local,gate_piff_events.py exited rc=1 -- raw log in <branch>/logs/
2026-07-19T23:25:38,start,1841466,ibfdr-compute-0-0.local,"gate_piff_events.py --new-run runs_piff/piff_fpc_gjs_wallv2 --baseline-run runs_piff/piff_fpc_gjs_ylp75 --expect-members FPC-const,FPC-sine,FPC-ramp,FPC-ou,FPC-telS-A --report-run gate_wallv2_fpc"
