t,relL2_bare,relL2_r3only,relL2_closure
0.0,4.608169339404739e-16,4.608169339404739e-16,4.608169339404739e-16
0.015,0.0005754553064955396,0.0005754338113145326,0.00014514555852129313
0.03,0.00119504690107539,0.0011950018792233153,0.0007449537233486156
0.045,0.0018302935477400395,0.0018302239351554743,0.025854717866516167
0.06,0.0024810017116065073,0.0024809064661209614,
