t,relL2_bare,relL2_closure
0.0,4.912973675966709e-16,4.912973675966709e-16
0.04,0.00048396089863248496,6.8335195319469e-05
0.08,0.0009661259292334198,0.00016259486480281788
0.12,0.001437310926648014,0.0006896405166671593
0.16,0.001898819767914396,0.009042060045945259
